% Model,HUR_model_weather_Jyvaskyla.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 14 2019, 18:31"
% Table,Table 4 - Line Average 3 (ht.alphaTdxx)
% Time (h),"Thermal diffusivity, xx component (m^2/s)"
824,9.926470588235297E-7
825,9.926470588235297E-7
826,9.926470588235297E-7
827,9.926470588235297E-7
828,9.926470588235297E-7
829,9.926470588235297E-7
830,9.926470588235297E-7
831,9.926470588235297E-7
832,9.926470588235297E-7
833,9.926470588235297E-7
834,9.926470588235297E-7
835,9.926470588235297E-7
836,9.926470588235297E-7
837,9.926470588235297E-7
838,9.926470588235297E-7
839,9.926470588235297E-7
840,9.926470588235297E-7
841,9.926470588235297E-7
842,9.926470588235297E-7
843,9.926470588235297E-7
844,9.926470588235297E-7
845,9.926470588235297E-7
846,9.926470588235297E-7
847,9.926470588235297E-7
848,9.926470588235297E-7
849,9.926470588235297E-7
850,9.926470588235297E-7
851,9.926470588235297E-7
852,9.926470588235297E-7
853,9.926470588235297E-7
854,9.926470588235297E-7
855,9.926470588235297E-7
856,9.926470588235297E-7
857,9.926470588235297E-7
858,9.926470588235297E-7
859,9.926470588235297E-7
860,9.926470588235297E-7
861,9.926470588235297E-7
862,9.926470588235297E-7
863,9.926470588235297E-7
864,9.926470588235297E-7
865,9.926470588235297E-7
866,9.926470588235297E-7
867,9.926470588235297E-7
868,9.926470588235297E-7
869,9.926470588235297E-7
870,9.926470588235297E-7
871,9.926470588235297E-7
872,9.926470588235297E-7
873,9.926470588235297E-7
874,9.926470588235297E-7
875,9.926470588235297E-7
876,9.926470588235297E-7
877,9.926470588235297E-7
878,9.926470588235297E-7
879,9.926470588235297E-7
880,9.926470588235297E-7
881,9.926470588235297E-7
882,9.926470588235297E-7
883,9.926470588235297E-7
884,9.926470588235297E-7
885,9.926470588235297E-7
886,9.926470588235297E-7
887,9.926470588235297E-7
888,9.926470588235297E-7
889,9.926470588235297E-7
890,9.926470588235297E-7
891,9.926470588235297E-7
892,9.926470588235297E-7
893,9.926470588235297E-7
894,9.926470588235297E-7
